case_id,phase,category,severity,date_start,date_end,surfaces,summary,evidence_refs,avoidable,process_failure,strategy_impact,recommendation
H-01,A,R5 Trazabilidad tardia,critical,2026-02-17,2026-02-24,"global","El board canonico llega despues de 1004 commits y la mayor parte del trabajo inicial queda sin ledger contemporaneo.","git:97e25b3f; metric:phase_A_commits=1004; metric:tasks_created_2026_02_24_to_2026_02_26=111; cmd:board_events_stats_total=0",high,"La gobernanza se encendio despues del tramo mas caotico.","Hace dificil saber que decision abrio cada linea de trabajo.","Exigir un ledger minimo de foco y decision antes de paralelizar."
H-02,A,R7 Deuda de decision,high,2026-02-17,2026-02-19,"frontend_public|chat|web_backend","Home, chat y backend web se movieron como un solo bloque sin idea de producto congelada.","metric:210_commits_touching_index_script_styles_figo_api; metric:index_html=85; metric:script_js=73; metric:generic_update_sync_phase_A=83",high,"No habia una idea unica diaria ni non-goals explicitos.","Se abrieron mejoras incompatibles entre si.","Exigir next_proof y non_goals antes de tocar home/chat/backend juntos."
H-03,A,R1 Retrabajo correctivo,high,2026-02-17,2026-02-19,"chat|asset_cache|figo_config","El chat entro en loops de duplicados, cache bust y configuracion/fallback muy pegados a cambios previos.","git:17559629; git:e3857d6a; git:b782eba6; git:1ee8ac0b; git:c388a647",high,"UX, cache, endpoint y fallback cambiaron sin smoke comun.","El chat consumio energia correctiva en vez de estabilizarse.","Separar cambios de UX/chat de cambios de cache y fallback."
H-04,A,R7 Deuda de decision,high,2026-02-19,2026-02-19,"chatbot|figo_backend|ux","En un solo dia el chatbot cambia varias veces de tesis: local, professional, fuzzy, V3, concierge y degraded mode.","git:7bd6379e; git:1e56d081; git:0556039e; git:676139fa; git:5d4aa58b; git:004b6ca8",high,"No hubo freeze de decision entre persona, routing y fallback.","El trabajo se sobrediseño antes de validar una sola idea.","Mover cambios de persona/routing/fallback a decision log previo."
H-05,A,R3 Coordinacion desperdiciada,critical,2026-02-20,2026-02-20,"repo_complete","Merge storm transversal: demasiadas ramas y temas heterogeneos integrados en un solo dia.","metric:2026_02_20_sync_merge=93; metric:2026_02_20_total=263; git:731c1b14; git:e7659f46; git:22955b8c; git:10544c3c",high,"Branch slicing insuficiente y sin cap de merges por ventana.","La integracion desplazo la validacion funcional.","Limitar el numero y el ancho de merges por ventana."
H-06,A,R1 Retrabajo correctivo,critical,2026-02-21,2026-02-21,"ci|admin|service_pages|assets","El dia posterior al merge storm se consume en corregir regresiones de integracion.","metric:2026_02_21_fix_restore=88; metric:2026_02_21_sync_merge=27; git:13a4bbe5; git:2381ca90; git:317898ca; git:34be7d71",high,"Se integro mas de lo que se podia validar en un corte.","El throughput real colapso en correccion.","Abrir ventanas exclusivas de estabilizacion despues de merge storms."
H-07,B,R6 Iteracion valida,high,2026-02-24,2026-02-24,"governance|board|task_cli|metrics","La fundacion de board, metrics, policy y task ops fue costosa pero durable y necesaria.","git:97e25b3f; git:51788557; git:4b1c1085; git:12a2a0cf; file:package_json_agent_scripts",low,"No es fallo principal; el fallo fue arrancarlo tarde.","Se convirtio en la base reutilizable mas importante del periodo.","Mover esta fundacion al inicio de futuros ciclos."
H-08,B,R3 Coordinacion desperdiciada,high,2026-02-24,2026-02-26,"board|agents|autopilot","El costo de reconciliar PRs y sincronizar colas de agentes se volvio visible y masivo.","metric:reconcile_merged_pr_commits=46; metric:autopilot_queue_sync_commits=10; git:e2cadf15; git:a56570c7; git:dc752244",high,"Demasiadas lineas abiertas para la capacidad de reconciliacion.","El sistema gasto energia en ordenarse a si mismo.","Congelar nuevas entradas cuando la cola de reconciliacion supere el umbral."
H-09,B,R3 Coordinacion desperdiciada,high,2026-02-25,2026-02-25,"workflows|summary|readiness","La linea prod-readiness se atomizo en demasiadas ramas y merges casi equivalentes.","metric:prod_readiness_workflows_family_repeats=18; git:04552bc2; git:4c430645; git:2374f971; git:7ff9d6ea",high,"Un solo corte funcional se partio en demasiadas variantes de rama.","El release readiness perdio coherencia como frente unico.","Mantener readiness en una sola branch slice con checklist interno."
H-10,B-D,R4 Trabajo innecesario,medium,2026-02-24,2026-03-14,"handoffs|board_events|governance_evidence","Handoffs y board-events quedaron mas como promesa de gobernanza que como mecanismo usado durante la ventana auditada.","metric:cross_domain_tasks_total=15; metric:handoffs_total=0; metric:board_events_file_present=false; cmd:board_events_stats_total=0",medium,"Se modelaron superficies de coordinacion sin adopcion minima obligatoria.","La gobernanza parecia mas madura de lo que estaba en uso real.","Exigir al menos un caso real de uso por cada mecanismo nuevo de coordinacion."
H-11,B,R2 Retrabajo estructural,high,2026-02-24,2026-02-26,"AGENT_BOARD|agent_orchestrator|AGENTS|package_json","Los archivos nucleares de gobernanza se volvieron hotspot de integracion mientras la herramienta se estaba terminando de construir.","metric:phase_B_AGENTS_and_board_hotspots; metric:governance_core_file_commits_2026_02_24_to_2026_02_25=281; git:f19ab069; git:12a2a0cf; git:19f23842",medium,"Contrato, estado y evidencia compartieron los mismos archivos al mismo tiempo.","La propia gobernanza se convirtio en cuello de botella.","Separar writers y separar runtime governance de governance evidence."
H-12,A,R4 Trabajo innecesario,high,2026-02-20,2026-02-21,"arquitectura|backend|frontend","Entraron apuestas arquitectonicas grandes sin una relacion clara con la capacidad operativa del corte y con consolidacion debil posterior.","git:731c1b14; git:e7659f46; git:4358adfc; git:22955b8c; git:47063620; git:10544c3c; git:0782b73a",high,"Arquitectura especulativa mezclada con integracion de producto base.","Se perdio foco en capacidad demostrable.","Pasar arquitectura avanzada a decision log y no a merge masivo."
H-13,D,R2 Retrabajo estructural,critical,2026-03-09,2026-03-14,"admin|queue|turnero","El modulo admin entro en una rafaga de refactorizacion por split sin pausa clara de estabilizacion.","metric:refactor_admin_split_commits=58; metric:phase_D_admin_js_touches=87; git:90635382; git:f26319a7; git:b64ab95f",medium,"Se modularizo mientras el rollout seguia vivo.","La estructura cambio mas rapido que la capacidad demostrable.","Refactorizar por slices pequenos con pausa obligatoria de smoke."
H-14,D,R1 Retrabajo correctivo,high,2026-03-10,2026-03-13,"admin|public_v6|deploy","Despues del split storm aparecieron restores, rebase fixes, bundle rebuilds y contract repairs.","metric:post_split_corrective_commits=8; git:9b845ede; git:39c18031; git:b5bf1276; git:659bc8f1; git:da2c5c94; git:18b46b9c",high,"No hubo pausa de estabilizacion ni freeze de merge/rebase durante la modularizacion.","El costo del refactor se arrastro al deploy y a la verificacion.","Despues de cada lote de split solo permitir smoke y fixes, no nuevas piezas."
H-15,B-D,R6 Iteracion valida,high,2026-02-24,2026-03-14,"governance|frontend_qa|public_v6|ops","La orientacion por contratos, smoke y evidence si produjo una base mas sana y reutilizable.","file:package_json_agent_and_public_v6_scripts; file:verification/public-v6-canonical; git:c0aa8175; git:544bba50; git:877a3d4d",low,"No es fallo; es el patron que conviene expandir.","Es la base mas fuerte para la siguiente estrategia.","Todo frente nuevo debe nacer con contrato minimo, smoke minimo y evidence path."
